0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:05:47 +0900] "GET /JSP_Gall/jsp/image/close.png HTTP/1.1" 200 6305
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:07:10 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7814
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:07:10 +0900] "GET /JSP_Gall/jsp/image/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:08:54 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7757
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:08:54 +0900] "GET /JSP_Gall/jsp/image/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:09:38 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7745
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:09:38 +0900] "GET /JSP_Gall/jsp/image/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:10:43 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7763
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:10:43 +0900] "GET /JSP_Gall/jsp/image/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:11:46 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:11:46 +0900] "GET /JSP_Gall/jsp/image/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:12:06 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7795
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:12:21 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7790
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:06 +0900] "GET /JSP_Gall/jsp/result.jsp?idx=2&p_idx=11 HTTP/1.1" 200 7793
0:0:0:0:0:0:0:1 - - [16/Jan/2023:12:13:06 +0900] "GET /JSP_Gall/jsp/image/close.png HTTP/1.1" 304 -
